Curse Name,Short Description,Resolution,Level,Target,Affects,NSFW,Reward
FUSHIGI!,"When you least expect it, a super strong Irish dwarf will perform the ancient art of Fushigi on your balls.","Do not have vulnerable testicles, or defeat the dwarf.",Moderate Physical Threat,You,Combat,TRUE,2x 3 Star
Kick Me!,People around you are compelled to kick you right on the butt when you turn your back to them. Compulsion increases with amount of negativity towards your person.,"Dodge, block, or find a way to rip the sign off your back.",Moderate Inconvenience,Others,Daily Life,FALSE,1x 2 Star
The Ultimate Prey,A fully equipped Yautja has decided you are worthy prey and will hunt you down for your skull as a trophy.,Defeat the Yautja or convince them to leave,Major Physical Threat,You,Combat,FALSE,2x 3 Star
All Hail the Magic Conch!,"A magic conch makes all your decisions for you, and you must listen.",Someone destroys the conch. Or avoid making decisions.,Major Distress,You,Daily Life,FALSE,1x 3 Star
Hentai Victim Logic,"If something perverted can happen, it will happen. Expect clothing damage and a lot of sexual harassment.","Improve your luck, or become too strong to be a victim",Major Distress,You,Daily Life,TRUE,1x 3 Star
Defective Mr. Studd,"Your dick and balls are replaced by a defective Mr. Studd that causes severe pain, sparking, inflammation, and will explode on being ""used"".","Repair the Mr. Studd, replace it, or somehow replace your entire crotch area.",Moderately Lethal Danger,You,Physical State,TRUE,2x 4 Star
Mogging Addict,"Your face is forced to mog at all times, even when sleeping.","Gain enough willpower to stop mogging, or shapeshift it away.",Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
Squidward Steps,"Every step you make sounds like Squidward. Yes, everyone else can hear them too, at the same volume as normal footsteps.",Silence your footsteps or gain enough charisma to counteract the humiliation,Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
Kamen Rider Victim,A random Kamen Rider in their final form will try to kill you with everything they have. They will not hold back.,"Survive, run, win, or make them think you're not worth attacking.",Major Existential Erasure,You,Combat,FALSE,2x 5 Star
Puripuriman Race Change,You are turned into the same race as Puripuriman from Kinnikuman. By which that means your entire head and upper torso is replaced by a giant butt. With eyes.,Adapt or get a race change ticket that fixes the problem.,Major Distress,You,Daily Life,TRUE,1x 3 Star
NEVER SHOULD HAVE COME HERE!,You must spend a minimum twenty seconds taunting or otherwise riling up your opponent before a fight,"Increase mental resilience, discipline, or charisma. Or get enough durability to survive.",Minorly Lethal Danger,You,Combat,FALSE,1x 4 Star
Meet N' F-,Every so often you will find yourself in situations matching those from very low budget 2D porn games,Complete the situation or escape it ten times,Major Inconvenience,You,Existence,TRUE,2x 2 Star
Toaster Fucker,You are now sexually attracted to literal toasters. I guess.,"Get a kink change, enhanced willpower, or a way to not suffer the consequences of your new fetish.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Your Neighbor Flanders,"There's a person in your life who's just better than you in every way, and is really nice and morally upstanding about it all too, and they're just always there.",Withstand a year of their presence without doing something stupid out of sheer jealousy,Moderate Inconvenience,Others,Daily Life,FALSE,1x 2 Star
Spacebattles Reading Comprehension,"Your reading comprehension, emotional stability, and intelligence match that of the average Spacebattles user.",Read more literature that isn't low effort fanfiction and broaden your horizons and ability to talk to normal people.,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
The Perfect Angle,"You know the perfect angle to bounce on it crazy style, and have a compulsion to show the nearest person","Gain enough discipline to overcome the compulsion, or live with being considered a slut",Moderate Distress,You,Relationships,TRUE,1x 3 Star
The Bee Movie Script,"Whenever it is most inconvenient, you have the compulsion to start loudly blurting out lines from the Bee Movie script","Increase mental resilience, discipline, or charisma. Or get enough durability to survive.",Major Distress,You,Mental State,FALSE,1x 3 Star
Manual Breathing,You are now stuck manually breathing while awake.,"Relearn how to breathe automatically, or find a ticket to alleviate the curse.",Minorly Lethal Danger,You,Daily Life,FALSE,1x 4 Star
Kamen Rider Villain,Pick a Kamen Rider. Any Kamen Rider. They now think you are one of their villains and will try to stop you from enacting an evil plot.,Defeat or pacify that Rider,Minor Existential Erasure,You,Existence,FALSE,1x 5 Star
Volcanosexual,You are sexually attracted to volcanoes,"Either get a ticket to remove/mitigate that kink, or become fire resistant enough to fuck a volcano and get away with it.",Minorly Lethal Danger,You,Daily Life,TRUE,1x 4 Star
Self Annihilation,"Gaze into the shadow of the Nihility and lose the meaning of your existence. Your mind, body, and soul gradually fade away into self-annihilation",Find a way to survive.,Major Existential Erasure,You,Existence,FALSE,2x 5 Star
Ghost of Castrations Past,"Once a week you will be struck in the crotch by an asshole ghost, hard enough to make you vomit. Armor does not help.","Become durable enough to tank it, or defeat/banish the entity responsible.",Moderate Distress,You,Daily Life,FALSE,1x 3 Star
6am Acid Challenge,"Every morning when you sit up, your mouth is filled with the sourest drink imaginable that you are forced to swallow, causing possibly hours of moderate to severe gastrointestinal distress.","Become acidproof, prevent the acid from filling your mouth, or find a ticket that counteracts both.",Minorly Lethal Danger,You,Rest,FALSE,1x 4 Star
A Platypus?,"An odd platypus keeps following you around. Incidentally, if you have evil plans or make large rays of any type, your plans usually end up being foiled mysteriously.",Try and find a pair of kids to adopt the platypus?,Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
ZEUUUUSSSS!,Kratos from God of War will try to kill you at some point during your journey,Kill or be killed. There is no other way.,Majorly Lethal Danger,You,Combat,FALSE,2x 4 Star
The One That Got Away,"You will find love at first sight, your perfect match, someone you can't stop thinking about. They will invariably friend-zone you forever and continue to go through suitors.","Develop a very strong will to ignore the loss, or be in a different healthy relationship for a year",Moderate Inconvenience,You,Relationships,FALSE,1x 2 Star
American Boot,"Sometime at random, a boot (Made in AMERICA) will be launched at you as if thrown by a large, burly man.","Dodge it, catch it, or destroy it.",Minor Inconvenience,You,Existence,FALSE,1x 2 Star
Minor Spelling Misteak,Yes you read that right. One in every hundred words you read will have a minor spelling mistake. No one will believe you about it.,Fix one hundred spelling mistakes,Minor Inconvenience,You,Daily Life,FALSE,1x 2 Star
Ass-phyxiation,At some point you will wake up being suffocated by a great big ass. Your choice of gender and person involved.,Escape the ass without dying. Or dive in.,Moderate Physical Threat,You,Rest,TRUE,2x 3 Star
I'M SO GREEN~,You and your belongings are permanently tinted some shade of green,Get some kind of color changing ability to handle this one,Minor Inconvenience,You,Daily Life,FALSE,1x 2 Star
Seven Minutes.,"Seven minutes is all you can spare to accomplish your important goals and tasks. Going over may prove lethal, depending on intensity. (No it won't, but you don't know that)","Finish within seven minutes, or test the curse's limits.",Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
"Hrrgh, Colonel-","You're trying to sneak around, but the clap of your ass cheeks keeps alerting the guards",Get a silencing ability. Or figure out how to stop that ass from clapping,Major Inconvenience,You,Combat,TRUE,2x 2 Star
Bounce Quarters Off of It!,Your ass is fat and bouncy to the point people will actually try to bounce quarters on it.,Either get an ass reduction or get used to having a fat juicy ass and telling people to fuck off,Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
"Cold Soup, Hot Salad",Food will now always feel like it's at the wrong temperature and be weirdly off somehow,Get a ticket to rework your tastebuds... or get used to it anyway,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Jobber,"You're the butt of the world's joke. Bad things happen to you that others find funny. Never enough for mortal danger, but enough to feel crummy about it.",Permanently enhance your luck. Or prepare like Milo Murphy,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Scary Sibling,"Your sibling is just... the worst. Cruel, mean, manipulative, lording their supposed superiority. They enjoy making you suffer.",Find common ground or pacify your sibling another way,Moderate Physical Threat,You,Existence,FALSE,2x 3 Star
Leaning Tower,"Gravity pulls you at an angle slightly to the left, just enough to be annoying",Gain a gravity manipulation power,Minor Inconvenience,You,Existence,FALSE,1x 2 Star
Coulrophobia,You're deathly and irrationally afraid of clowns. Try not to look in a mirror.,Clown-themed exposure therapy,Minor Inconvenience,You,Mental State,FALSE,1x 2 Star
Why Are You Gay?,"Congratulations! Your sexual preference is now the same gender as you are. If you weren't gay before, you are now!","Live with it, or become bi/pan sexual",Minor Inconvenience,You,Relationships,FALSE,1x 2 Star
Farewell to Dreams,"At some point, Azathoth the Dreamer awakens. The story ends here.",Start over again.,Major Existential Erasure,World,Existence,FALSE,2x 5 Star
Eldritch Love Triangle,"Two eldritch cuties are now fighting for your attention in increasingly eldritch ways. This is a very, very bad thing. Congrats, you're a Sucker For Love.",Solve a family dispute from before time was a dream imagined by a being that never wakes,Minor Existential Erasure,You,Relationships,FALSE,1x 5 Star
Hostile Interior Decoration,"Doesn't matter how. Doesn't matter why. Somehow, somewhy, you always stub your toe on a table corner, even if you're wearing heavy boots.",Gain extra grace and poise to prevent missteps,Minor Inconvenience,You,Daily Life,FALSE,1x 2 Star
Slapstick Communication,"The only way you know how to express your ideas is via slapstick comedy- shaking, smacking, hijinks, skits, etc. No one gets hurt, thankfully.",Learn proper speaking techniques or gain enough tickets to counteract your lack of communication skills,Major Inconvenience,Others,Communication,FALSE,2x 2 Star
Them!,Giant 50 foot tall alien insects have burst out of the ground and started attacking the nearest population center! And there's no defense force to help!,Save the city,Moderately Lethal Danger,Others,Combat,FALSE,2x 4 Star
Deciding Coin Flip,"Every important choice you make, flip a coin to see if you succeed... or if you fail.  Once the coin lands, your odds are set.",Either rig the coin toss or fix your luck,Minor Distress,You,Daily Life,FALSE,3x 2 Star
Exactly 650 Dollars,You keep winding up in situations roughly once a month where someone requires exactly $650 from you. Cough it up.,"Get rich enough that it no longer affects you, or figure out how to solve the incident without funds",Moderate Inconvenience,You,Relationships,FALSE,1x 2 Star
Brainrot,"You gyatt=to talk like rizz, skibidi sigma. On god fanum ohio tax six seven. ",Relearn how to speak normally. Please.,Major Distress,Others,Communication,FALSE,1x 3 Star
Death by Daylight,"You don't start in the universe you've picked. Or, if you aquired this later, you will be taken from whererever you are in a cloud of mist. Once either happens, you will find yourself in a massive, ruined city, containing all the usual parts of a city, surrounding suburbs, and farmland. There are a number of other people around, and you are all being hunted. Each area has it's own hunter, which can be anything from an absurdly strong and durable human to an eldritch horror, who will be attempting to kill you. They are not invincible, but will be returned to life thirty minutes after being beaten unless completely erased from reality. In which case a similar hunter will be spawned instead. Being killed has you wake up in a random location of the city at the beginning of the night. Die enough times and you may just joing the hunters.","Survive until daylight, which takes approximately six hours. Alternatively, you may find, bind, and clease totems scattered about the area. Once you have cleansed four totems in a single area, five exits will be spawned. They are single use and take the form of a pair of wooden doors either floating in space or attached to whatever wall is around. There is no lock ensuring you will get a door, no matter how much effort you put into cleasning the totems.",Majorly Lethal Danger,World,Existence,FALSE,2x 4 Star
Blowjob Addiction,"You have an addiction to giving (or receiving, if you have the equipment for it) blowjobs. It becomes far easier to sway you with the offer of a blowjob, either giving or receiving.","Obtain three C rank Mind or one A rank Mind roll. Additionally, addiction therapy and refusal to perform a blowjob for a month will also remove the curse. The increased pleasure from a blowjob will not fade, however.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Cunnilingus Addiction,"You have an addiction to giving (or receiving, if you have the equipment for it) cunnilingus. It becomes far easier to sway you with the offer of cunnilingus, either giving or receiving.","Obtain three C rank Mind or one A rank Mind roll. Additionally, addiction therapy and refusal to perform cunnilingus for a month will also remove the curse. The increased pleasure from cunnilingus will not fade, however.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Empty Feeling - Vaginal,"Your pussy always feels kinda empty without something long and thick filling it up, to the point of distraction and possibly impacted rest without something there. You take doubled pleasure from vaginal penetration.","Obtain three C rank Mind or one A rank Mind roll. Or, addiction therapy and discipline to not indulge for a month will also remove the curse. The increased pleasure doesn't fade, though.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Empty Feeling - Oral,"Your throat always feels kinda empty without something long and thick filling it up, to the point of distraction and possibly impacted rest without something there. You take doubled pleasure from oral penetration.","Obtain three C rank Mind or one A rank Mind roll. Or, addiction therapy and discipline to not indulge for a month will also remove the curse. The increased pleasure doesn't fade, though.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Empty Feeling - Anal,"Your anus always feels kinda empty without something long and thick filling it up, to the point of distraction and possibly impacted rest without something there. You take doubled pleasure from anal penetration.","Obtain three C rank Mind or one A rank Mind roll. Or, addiction therapy and discipline to not indulge for a month will also remove the curse. The increased pleasure doesn't fade, though.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Empty Feeling - Urethral,"Your urethra always feels kinda empty without something long and thick filling it up, to the point of distraction and possibly impacted rest without something there. You take doubled pleasure from urethral penetration.","Obtain three C rank Mind or one A rank Mind roll. Or, addiction therapy and discipline to not indulge for a month will also remove the curse. The increased pleasure doesn't fade, though.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Hypersexuality,"It's not that you don't understand when and where it's appropriate to have sex, it's just that your natural response to stress is to start masturbating. When you are focused on something and one hand is unoccupied, feeling stressed, or otherwise not engaged in something that requires both hands, you'll find yourself naturally starting to play with yourself. It is significantly easier to entice you into sex as well.","You'll always have the inclination to start masturbating, but aquiring a B rank Mind roll will make controlling it where it would be inapropriate significantly easier.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
Random Orgasms,I'm not going to sugar coat it. You will orgasm at a random time once every three hours no matter what.,"Gain a bodily control ability, or a mind ability that can either suppress or nullify the sudden orgasm.",Moderate Inconvenience,You,Daily Life,TRUE,1x 2 Star
I've Got An Idea!,Your plans are always the comedically worst and possibly dumbest things to do in any one situation. Usually involving explosives or over the top vehicle crashes.,Relearn how to plan things properly without fire and explosives. Or get enough plot armor that it doesn't matter.,Moderate Physical Threat,You,Mental State,FALSE,2x 3 Star
THE GAME,"You are keenly aware that you just lost the game, and will continue to lose it the more you think about it.",Stop thinking about The Game,Minor Inconvenience,You,Mental State,FALSE,1x 2 Star
Two Left Feet,"You can't dance worth a damn- no rhythm, no style, no flow. Nothing. Like watching an octopus get tazed while suffocating.",Take dance classes and relearn your sense of rhythm,Minor Inconvenience,You,Relationships,FALSE,1x 2 Star
A Sprite Cranberry,"At random rest times, a certain 6'9"" NBA All-Star will approach and ask if you want a Sprite Cranberry regardless of whether or not you were sleeping or doing something else.",Accept the Sprite Cranberry,Moderate Inconvenience,You,Rest,FALSE,1x 2 Star
The Blade Of...?,"There are holes in your memory. Using your energy pool will consume your memories, causing actions, relationships, and personality to slowly fade.",Forge a memory that can never fade. Anchor yourself to it.,Moderate Existential Erasure,You,Existence,FALSE,1x 5 Star
Calcifer's Curse,May all your bacon burn.,Suffer. (Or appease the flames with egg shells),Minor Inconvenience,You,Daily Life,FALSE,1x 2 Star
Leviticus' Laws,You are compelled to follow every law set in the Book of Leviticus. You struggle to act against them.,Attend some religious service once a week for a year.,Major Inconvenience,You,Existence,FALSE,2x 2 Star
LinkedIn Dialogue,"You speak like you're on LinkedIn at all times, corporate and out of touch.",Make 25000 USD or local equivalent through legal business practices,Major Inconvenience,You,Communication,FALSE,2x 2 Star
Out Of Your League,One of the objects of your affections will never be interested in you no matter what you try.,Acquire 3 communication based rolls,Moderate Inconvenience,Others,Relationships,FALSE,1x 2 Star
Radda Radda!,You can only speak and write like Schnitzel from Chowder. Radda Radda. Radda Radda!,"Relearn your lost language, or get a ticket to help.",Major Inconvenience,You,Communication,FALSE,2x 2 Star
Art Filter,"Everything around you looks kinda... not right. Like the art style got messed up, or became overly detailed to the point of disgust.","Either live with it, or get something that alters your perception back to how it should be",Moderate Distress,World,Daily Life,FALSE,1x 3 Star
Money = Power,"The world has somehow been altered to place a significant amount of power in the hands of the most physically powerful. Each person now has physical and magical attributes equivalent to their personal wealth, counting hard currency, properties, value of owned objects, and etc.",Get enough money to become the most powerful... and then give it all up.,Moderate Physical Threat,World,Physical State,FALSE,2x 3 Star
Gaslighting Isn't Real,You have a thing for gaslighting people all the time into believing false facts and narratives,"Resist the compulsion to gaslight someone for a month straight, or gain a roll to help reset your cognition",Minor Distress,You,Mental State,FALSE,3x 2 Star
"Ivory Towers, Literally","Anyone who qualifies as a member of the 'best and brightest' are promptly secluded from the rest of the population. People within these towers have everything handled by others, want for nothing, and are in charge of any form of advancement and governmental action. Oppotunities to those not within the towers are extremely low, but there are rumors of ways to prove yourself and enter one...",None. But the towers are not invincible...,Major Distress,World,Daily Life,FALSE,1x 3 Star
