Name,Series,Short Description,Category,Gender,Magic,Memetic,Might,Mind,Motion,Moxie,Mutation,Myth,Stats,Rank,Growth Type,Growth Rate,Restock,Return,Gift,NSFW
Tinkerer,Generic,"Your general ability to make stuff has increased. Does not confer mastery of anything, just makes it easier to build things",Skill,N/A,F,F,F,D,F,F,F,F,5,E,Tinker,Medium,N/A,N/A,FALSE,FALSE
Blood Manipulation,Generic,"Bleed for me! The ability to manipulate and generate blood! Other peoples blood has to be outside of their body, but you can rip your own out right through the skin if you want.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Mind Control,Generic,"It's easier if they always agree. Take control of someone's mind, slaving them to your will for as long as you hold the effect and they can't shake you off. You must focus to maintain it, but can train to reduce the focus required.",Ability,N/A,F,D,F,D,F,C,F,F,20,D,Train,Slow,N/A,N/A,FALSE,FALSE
Powered Words,Generic,"Give your words more weight. Infuse your speech with the power to affect the world, though it will only go so far. More energy means more effects.",Ability,N/A,D,F,F,F,F,D,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Crystal Manipulation,Generic,"Truly outrageous. Control and create crystal structure. Yes, you can sell them, but they're mystically dead and unsuitable for science.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Space Manipulation,Generic,"SPAAACE! Create and control space. Not outer space, actual physical space.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Luck Manipulation,Generic,WINNER! Control and create luck!* *Does not apply to the gacha itself.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Time Manipulation,Generic,Tick. Tock. Control and create time.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Telekinesis,Generic,Grab things with your mind. A moderate level of telekinetic ability in grabbing and manipulating things by focusing.,Ability,N/A,E,F,F,F,F,F,F,F,1,F,Train,Medium,N/A,N/A,FALSE,FALSE
Summoning,Generic,"You can summon generic humanoid (ie, a mannequin doll) minions. Starts with one small cat-sized figure, size, amount, and ease of summoning increases over time.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Wood Manipulation,Generic,"Maple or Birch? Create and control wood. It isn't alive, unless you have something else for that, and is generally low quality.",Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Sound Manipulation,Generic,Scream. Create and control sound.,Ability,N/A,D,F,F,F,F,F,F,F,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Cooking,Generic,"You can cook! At a basic level at least. You can follow a recipie and won't burn food, but you aren't a trained chef.",Skill,N/A,F,F,F,F,F,F,F,F,0,F,Train,Fast,N/A,N/A,FALSE,FALSE
Sword Beams,Generic,"When using any weapon, you can swing it to send a beam of any element you have access to out at foes. If you don't have one, it is simply a visible white slash moving through the air.",Ability,N/A,D,F,E,F,F,F,F,F,6,E,Train,Medium,N/A,N/A,FALSE,FALSE
Disney Princess,Generic,"You can control animals through singing. They will follow your directions as long as the song lasts, but won't harm themselves and will leave when it ends.",Ability,N/A,E,E,F,F,F,F,F,E,3,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Song Magic,Generic,"Sing! You can enact various minor effects through your voice! If you have any manipulation powers, they can also be used through song.",Ability,N/A,D,D,F,F,F,F,F,F,10,D,Train,Slow,N/A,N/A,FALSE,FALSE
Barriers,Generic,"Say no. Create physical, albeit invisible, barriers. About the size of a doorway at first. They don't start very strong, a determined human could get through them, but training will make them stronger.",Ability,N/A,E,F,F,E,F,F,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Technomancy,Generic,"Dive into the world of code and manipulate it with nothing but your will. Grants no special protections for attacking protected systems, it's up to you to become a great hacker.",Ability,N/A,D,F,F,D,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Imbuement,Generic,"Anything I can do, it can do too. Impress your abilities onto objects to allow others to temporarily use them, or use them yourself for a boost to power. Takes 1 hour per rank of ability.",Ability,N/A,D,E,F,F,F,F,F,F,6,E,N/A,N/A,N/A,N/A,FALSE,FALSE
Physical Enhancement,Generic,"General physical increase, now complete with the strength of 2 men.",Ability,N/A,E,F,D,F,E,F,F,F,7,E,N/A,N/A,N/A,N/A,FALSE,FALSE
Mental Enhancement,Generic,"General mental increase. Think faster, harder, with more numbers!",Ability,N/A,E,F,F,D,F,E,F,F,7,E,N/A,N/A,N/A,N/A,FALSE,FALSE
Bomb Fixation,Generic,"Blowing shit up is a passion. Gain significantly increased ability to learn about explosives, explosive making, and explosive usage.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Gardening Fixation,Generic,"Dirt, Water, and Work. Learning how to create and maintain a garden is much easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Worm Fixation,Generic,Wriggly. Learning about worms is much easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Sex Fixation,Generic,"Study the Kama Sutra, now you'll learn it all with ease. Studying and learning about sex is significantly easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,TRUE
Cooking Fixation,Generic,Pinch of lemon. Learning how to cook is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Fighting Fixation,Generic,"I know Kung-Fu, and so can you! Learning anything about fighting is much easier. Does not confer any physical ability.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Driving Fixation,Generic,Vroom-vroom. Learning how to drive anything is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Cleaning Fixation,Generic,A new janitor rises. Learning how to clean is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Searching Fixation,Generic,There's Waldo! Techniques for searching for something are much easier to learn.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Puzzle Fixation,Generic,"Su-do-ku. The tricks and techniques for solving puzzles, as well as the rules for puzzles, are significantly easier to learn.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Map Fixation,Generic,"Never lost. Have an significantly easier time learning to read, use, and create maps.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Survival Fixation,Generic,"Living is important, and you can give it the attention it needs. Significantly increase the speed at which you learn survival tricks, techniques, and anything else.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Gun Fixation,Generic,Outsmart bullet. Learning about guns is significantly easier. Doesn't give any ability to use them.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Crustacean Fixation,Generic,"All return to crab, and learning about them, an crustaceans in general, is significantly easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Weapon Fixation,Generic,"Stab, slash, shoot. Learning about weapons is significantly easier. Doesn't confer any skill with them.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Train Fixation,Generic,I like trains. Learning about trains is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Monster Fixation,Generic,"But is man a monster? Not for this, learning about monsters in general, or specific, is significantly easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Hunting Fixation,Generic,"Learning about hunting is significantly easier. Yes, includes the most dangerous game.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Hiking Fixation,Generic,Hit the trail and learn the ways and hows of hiking significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Running Fixation,Generic,It'll save your life one day. Learning about running is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Gymnastics Fixation,Generic,"The methods, tips, tricks, and general knowledge about gymnastics is significantly easier to learn.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Horse Fixation,Generic,Kimi no aiba ga! Learning anything about horses is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Cat Fixation,Generic,"Nya, see. Learning about cats is significantly easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Road Fixation,Generic,Hit it. Learning about roads is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Geography Fixation,Generic,"Know the land, know the world. Geogoraphy is significantly easier for you to learn.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
History Fixation,Generic,"Do not be doomed to repeats, learning history is significantly easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Car Fixation,Generic,"Become a mechanic, learn about cars significantly easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Economics Fixation,Generic,It's all about the money. Learn economics significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Farming Fixation,Generic,"Rise with the sun, learn about farming significantly easier.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Homesteading Fixation,Generic,Home again. Learning about homesteading is significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Negotiation Fixation,Generic,"Speak and be heard. Negotiating strategies, methods, and other related bits are significantly easier to learn.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Buildings Fixation,Generic,"Architecture! Building buildings, as well as everything else to do with buildings, is significantly easier to learn.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Plant Fixation,Generic,"All about the green. It's significantly easier to learn anything about plants, including planting and caring methods.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Fungi Fixation,Generic,Fun Gi. Learn about fungi significantly easier.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Medicine Fixation,Generic,Doctor doctor. Learn medicine significantly more quickly.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Poison Fixation,Generic,"Just a drop. It's significantly easier to learn about poisons, poison making, and similar poison related things.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Chemical Fixation,Generic,We gotta cook! Chemical knowledge is significantly easier to learn.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Biology Fixation,Generic,"You know a lot about biology. It is easier to understand, learn about, and do lab work related to biology. Does not confer skill.",Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Math Fixation,Generic,2+2. It's significantly easier to learn math.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Physics Fixation,Generic,The most uncaring thing. Physics are significantly easier to learn.,Passive,N/A,F,F,F,E,F,E,F,F,2,F,Train,Medium,N/A,N/A,FALSE,FALSE
Magic Fixation,Generic,Alakazam! It's signficantly easier to learn magic and magic related things.,Passive,N/A,E,F,F,E,F,E,F,F,3,F,Train,Medium,N/A,N/A,FALSE,FALSE
A Cold One,Generic,Not that kind. A case of beer of the type most palatable to yourself.,Novelty,N/A,F,F,F,F,F,E,F,F,1,F,N/A,N/A,24hr,N/A,TRUE,FALSE
Total Concentration Breathing,Demon Slayer,A style of breathing which grants supernatural abilities and the prerequisite to other Breathing Styles. Can be trained into being automatically done.,Skill,N/A,E,F,D,F,C,F,F,F,16,D,Train,Medium,N/A,N/A,FALSE,FALSE
Hellsing Vampire,Hellsing,"A real fucking vampire. Comes with significantly enhanced strength, speed, and senses as well as a host of supernatural abilities unlocked through drinking blood. Unfortuantely, the drawbacks apply as well- weakness to sunlight, holy artefacts, and you must consume fresh blood. Animal won't do either.",Race,N/A,C,F,C,F,C,B,F,B,130,B,Time,Fast,N/A,N/A,FALSE,FALSE
The Dream Nail,Hollow Knight,"A nail roughly the length of a shortsword. When swung it creates an ethereal blade which reveals the thoughts of whoever it strikes. When swung with damaging intent, seals a small bit of the soul of the struck enemy.",Arsenal,N/A,B,F,F,D,F,F,F,B,105,B,Twin,N/A,N/A,N/A,TRUE,FALSE
Jacques Schnee's Credit Card,RWBY,"A credit card with a snowflake on the face. It will somehow work without comment when handed in to purchase things, even if credit cards haven't been invented. The money isn't infinite, but it's still quite a lot.",Arsenal,N/A,F,F,F,F,F,E,F,E,2,F,N/A,N/A,N/A,24hr,TRUE,FALSE
Rare Candy,Pokemon,A small hard candy that tastes great! Consuming this candy allows the user to level up themselves or one skill or ability by one rank.,Consumable,N/A,D,F,F,F,F,F,D,F,10,D,N/A,N/A,N/A,N/A,TRUE,FALSE
Fertility Calibration,Generic,"Shoot blanks of .50BMG. Now you decide! You control your fertility and as a bonus grants the abilty to choose how many children result from a pregnancy. It even guarantees a safe, complication free pregnancy!",Passive,N/A,F,F,E,F,E,E,B,F,53,C,N/A,N/A,N/A,N/A,FALSE,TRUE
Pokeball,Super Smash Brothers,"A fist sized sphere- half white, half red. When thrown summons a random non-mythical Pokemon to aid you in battle. This Pokemon is loyal immediately, but it is not guaranteed to remain so. You may maintain only 6, after which further thrown Pokeballs do not work.",Consumable,N/A,D,D,D,D,D,D,F,F,30,D,Twin,N/A,1wk,N/A,FALSE,FALSE
Mechanical Caretaker,Hob,"A mechanical humanoid that comes with an innate desire to repair, rebuild, and maintain an area. It is capable of thinking, learning, prioritizing, and comes with it's own manual for both repair, improvement, and building more.",Familiar,N/A,F,E,D,D,D,E,F,F,17,D,Tinker,Medium,N/A,N/A,FALSE,FALSE
Solemn Lament,Lobotomy Corporation,"An E.G.O suit consisting of a black suit, two pistols, and a casket. The suit provides overall defense, especially against mental attacks. The pistols never run out of ammo, but using them makes one more mournful.",Arsenal,N/A,D,D,D,D,F,F,F,F,20,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Epithet,Epithet Erased,"Choose a word. Or grab a random one. You may now impose that word onto the world based on your understanding of it's definition, either on yourself, others, or in an area. For instance, ""Slow"" could literally slow someone running or making the world move literally slower.",Ability,N/A,B,F,F,F,F,F,F,D,55,C,N/A,N/A,N/A,N/A,FALSE,FALSE
Gloves of the Black Silence,Library of Ruina,"A pair of black gloves. They mute all sound you make, and have a pocket dimension suitable for storing nine weapons.",Arsenal,N/A,F,E,D,F,C,F,F,F,16,D,N/A,N/A,N/A,N/A,TRUE,FALSE
Magma Pinion Blade,Lobotomy Corporation,"A stone blade. When used it combat it begins to drip magma and partially armors the wearer. If the wearer finds their resolve to stand even against impossible odds, it will further grant regeneration, shielding, and the ability to manipulate the magma the blade produces",Arsenal,N/A,C,F,A,F,A,A,F,F,310,B,N/A,N/A,N/A,N/A,TRUE,FALSE
Havel's Armor,Dark Souls,"A full set of extremely heavy, extremely durable, and extremely protective stone armor formerly belonging to Bishop Havel the Rock. Anyone wearing this is near impervious to anything that couldn't destroy a building, and even then they could march through it.",Wearable,N/A,C,C,D,E,F,C,F,B,86,C,N/A,N/A,N/A,N/A,TRUE,FALSE
Evoker,Persona,"A specially made pistol used by placing it to the users temple and pulling the trigger. It is incapable of firing damaging objects, but when used properly will evoke the user's self into a separate entity that will assist in combat. Fearing death renders this weaker or entirely ineffective.",Arsenal,N/A,F,F,F,C,F,F,F,F,10,D,N/A,N/A,N/A,N/A,TRUE,FALSE
Mita,MiSide,"Mita! Virtual companion brought to life! Cooks, clean, dances, games, just don't leave her alone or make her think you don't care about her.",Familiar,Female,E,F,D,F,E,D,F,F,12,D,Twin,Fast,N/A,N/A,FALSE,TRUE
Jack Banhammer,Mullet Madjack,"The moderator of the far future, moderately superhuman with a lot of guns and a mullet",Familiar,Male,F,F,D,F,C,D,F,F,20,D,Train,Fast,N/A,N/A,FALSE,FALSE
The Service Weapon - Gun Form,Control,An object of power with near infinite ammo and multiple forms. Gives a claim to be the Director of the Oldest House.,Arsenal,N/A,B,F,D,F,F,F,F,C,65,C,Tinker,Hyper,N/A,Auto,FALSE,FALSE
Flubber,Flubber,Sentient pile of super bouncy gelatinous goo. Kinda dog-like in personality. Very easy to take care of.,Familiar,Other,F,F,E,F,C,F,D,F,16,D,Trust,Fast,N/A,N/A,FALSE,FALSE
Koppelthorn Engine,Metal Gear Solid,A quantum calculation system that allows the creation of VR simulations and use alternate realities for its calculations.,Arsenal,N/A,EX,F,F,B,F,F,F,F,"10,050",SSS,Tinker,Medium,N/A,24hr,TRUE,FALSE
Sinful Shell,Persona,A single shot that deals massive damage against the divine. Once killed a false god.,Consumable,N/A,S,S,F,F,F,F,F,F,"1,000",S,Twin,Snail,1yr,Auto,FALSE,FALSE
Metal Gear Mk. II,Metal Gear Solid,"A mobile terminal for battlefield support. Carries out recon, item transport, and health assessments. Has a manipulator arm for grabbing, shocking, and accessing computers. Also has camo and is immune to EM Radiation.",Arsenal,N/A,F,F,F,F,F,F,F,F,0,F,Tinker,Fast,N/A,Auto,TRUE,FALSE
Walking Fortress Balam,Earth Defense Force,Giant mecha designed to punch the crap out of kaiju.,Vehicle,N/A,F,F,C,F,C,F,F,F,20,D,Tinker,Medium,N/A,N/A,TRUE,FALSE
Boss Theme,Generic,Small MP3 player that allows you to make your own day to day soundtrack that plays in the background. Can also interrupt opponents.,Novelty,N/A,F,F,F,F,F,F,F,F,0,F,Tinker,Hyper,N/A,1hr,TRUE,FALSE
Batman's Bat-Credit Card,DC Comics,"Batman's credit card. No expiration date, near unlimited funds. Don't overuse it or Batman will find you.",Novelty,N/A,F,B,F,F,F,E,F,E,52,C,N/A,N/A,N/A,24hr,TRUE,FALSE
Core Drill Pendant,Tengen Toppa Gurren Lagann,A small drill pendant that grants the user Spiral Power. Spiral Power increases as long as the user has the will to keep moving forward.,Arsenal,N/A,F,C,EX,A,EX,EX,D,F,"30,115",SSS,Train,Medium,N/A,Manual,TRUE,FALSE
Infinite Ammo Headband,Metal Gear Solid,"Grants the wearer unlimited ammo on equipped weaponry, even if the weapon is empty.",Wearable,N/A,F,A,F,F,F,F,F,A,200,B,Twin,Snail,N/A,24hr,TRUE,FALSE
Mazinger ZERO,Mazinger Z,"The Mazinger beyond all Mazingers, has seven Black Box Systems that can be activated for more abilities, at high risk of unleashing the Majin state. Keep justice in your heart and fight to keep control.",Familiar,N/A,EX,EX,EX,EX,EX,EX,EX,EX,"80,000",EX,Trust,Medium,N/A,N/A,FALSE,FALSE
Scarlet Star's Tiara,Scarlet Star,"A tiara that allows the wielder to become Scarlet Star, a magical girl with blood manipulation abilities and enhanced speed and strength.",Wearable,Female,C,F,D,F,D,D,F,E,26,D,N/A,N/A,N/A,N/A,TRUE,FALSE
Maid Cyn,Murder Drones,"A wonky worker drone host to the Absolute Solver. Powerful and can turn into a giant centipede form, but not at full potential yet. Loves mangos and golden retrievers.",Familiar,Female,A,E,B,E,A,E,E,E,255,B,Tinker,Slow,N/A,N/A,FALSE,FALSE
A Single Chaos Emerald,Sonic the Hedgehog,"One singular Chaos Emerald, a gem of immense alien chaos energy. Roll again for another emerald! With training, you can access the energy inside the emeralds as well.",Arsenal,N/A,SS,A,F,F,F,F,D,S,"1,605",S,Train,Slow,N/A,N/A,TRUE,FALSE
Used Shovel,Postal,A nearly unbreakable shovel. Get a duplicate to turn it into a serrated shovel!,Arsenal,N/A,F,E,E,F,F,F,F,D,7,E,Twin,Slow,N/A,N/A,TRUE,FALSE
Glowing Eyes,Generic,You have cool glowing eyes. They do nothing else.,Ability,N/A,F,E,F,F,F,E,E,F,3,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Cry,Generic,You can cry pretty hard on command,Ability,N/A,F,F,F,F,F,E,E,F,2,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Roentgenium Manipulation,Generic,Sense and manipulate Roentgenium around you. Gets stronger with training. Worth 1 free reroll of the same ticket level.,Ability,N/A,E,F,F,F,F,F,F,F,1,F,Train,Medium,N/A,N/A,FALSE,FALSE
New York Subway Rat,Generic,"A standard rat from New York. Surprisingly hardy, surprisingly big for a rat.",Familiar,Other,F,F,F,F,F,F,E,F,1,F,N/A,N/A,N/A,Auto,FALSE,FALSE
Sacabampabsis,Generic,A prehistoric jawless fish. Keep for a novelty pet or reroll once.,Familiar,Other,F,F,F,F,F,F,F,E,1,F,N/A,N/A,N/A,Auto,FALSE,FALSE
Normal Dog,Generic,Man's Best Friend. Summons one dog of preference and compatibility to be your buddy.,Familiar,Other,F,F,E,F,E,F,F,E,3,F,Trust,Snail,N/A,Auto,FALSE,FALSE
Salt Golem,Generic,"A 5cm tall minion made of salt. Keep for a novelty minion, otherwise reroll once.",Familiar,Other,F,F,F,F,F,F,F,F,0,F,N/A,N/A,N/A,Auto,FALSE,FALSE
One Pair of Comfortable Socks,Generic,"Just a very good pair of socks. Useful, but not that useful.",Wearable,N/A,F,F,F,F,F,F,F,F,0,F,N/A,N/A,N/A,N/A,TRUE,FALSE
Ceramic Etruscan Boar Vessel,Generic,A unique looking antique vessel. Mostly a novelty item. Worth 1 Reroll.,Novelty,N/A,F,F,F,F,F,F,F,E,1,F,N/A,N/A,N/A,N/A,TRUE,FALSE
Infinite Febreze Can,Generic,1 can of Febreze that sprays indefinitely. Sprays your favorite scent from the current Febreze catalog. Mildly flammable.,Novelty,N/A,F,E,F,F,F,F,F,F,1,F,N/A,N/A,N/A,N/A,TRUE,FALSE
Clown Nose,Generic,1 Generic honking clown nose. Fun for parties.,Wearable,N/A,F,E,F,F,F,F,F,F,1,F,N/A,N/A,N/A,N/A,TRUE,FALSE
One Handful of Salt,Generic,You poor bastard.,Consumable,N/A,F,F,F,F,F,F,F,F,0,F,N/A,N/A,N/A,N/A,TRUE,FALSE
Chipless Chocolate Chip Cookie,Cookie Clicker,You poor bastard.,Consumable,N/A,F,F,F,F,F,F,F,F,0,F,N/A,N/A,N/A,N/A,TRUE,FALSE
A Handful of Chocolate Chips,Cookie Clicker,You poor bastard.,Consumable,N/A,F,F,F,F,F,F,F,F,0,F,N/A,N/A,N/A,N/A,FALSE,FALSE
